pair,src_word,tgt_word,src_freq,tgt_freq,src_coh,tgt_coh,min_freq,min_coh
eng-zul,city,idolobha,11,1,0.885,0.8745,1,0.8745
eng-zul,woman,umfazi,18,0,0.8166,0.915,0,0.8166
eng-zul,book,incwadi,9,17,0.844,0.8919,9,0.844
eng-zul,dog,inja,0,0,0.8046,0.9153,0,0.8046
eng-zul,person,umuntu,57,105,0.839,0.9411,57,0.839
eng-zul,bread,isinkwa,0,0,0.8759,0.8807,0,0.8759
eng-zul,country,izwe,152,50,0.8604,0.9031,50,0.8604
eng-zul,mother,umama,6,2,0.8962,0.9126,2,0.8962
eng-zul,community,umphakathi,60,52,0.9087,0.9719,52,0.9087
eng-zul,night,ubusuku,3,2,0.8883,0.8928,2,0.8883
eng-zul,education,imfundo,66,4,0.9198,0.8784,4,0.8784
eng-zul,police,amaphoyisa,31,11,0.8345,0.9176,11,0.8345
eng-zul,sun,ilanga,1,2,0.8855,0.9167,1,0.8855
eng-zul,child,ingane,90,23,0.8804,0.8826,23,0.8804
eng-zul,animal,isilwane,3,0,0.8828,0.8361,0,0.8361
eng-zul,tree,isihlahla,0,0,0.8314,0.8643,0,0.8314
eng-zul,father,ubaba,1,0,0.928,0.913,0,0.913
eng-zul,man,indoda,3,1,0.8385,0.9248,1,0.8385
eng-zul,rights,amalungelo,41,22,0.8467,0.8841,22,0.8467
eng-zul,water,amanzi,50,31,0.853,0.8932,31,0.853
eng-zul,mountain,intaba,0,0,0.8431,0.8842,0,0.8431
eng-zul,road,indlela,6,74,0.878,0.9606,6,0.878
eng-zul,support,usizo,164,38,0.8598,0.8549,38,0.8549
eng-zul,cat,ikati,1,0,0.8111,0.796,0,0.796
eng-zul,fish,inhlanzi,0,0,0.8665,0.8208,0,0.8208
eng-zul,health,impilo,142,44,0.9292,0.897,44,0.897
eng-zul,people,abantu,374,348,0.8094,0.94,348,0.8094
eng-zul,hospital,isibhedlela,33,6,0.8825,0.9392,6,0.8825
eng-zul,land,umhlaba,96,30,0.8341,0.8997,30,0.8341
eng-zul,river,umfula,1,0,0.9035,0.9462,0,0.9035
eng-zul,milk,ubisi,0,0,0.8753,0.8873,0,0.8753
eng-zul,president,umongameli,58,51,0.9501,0.9409,51,0.9409
eng-zul,electricity,ugesi,29,35,0.911,0.8572,29,0.8572
eng-zul,rain,imvula,0,0,0.8721,0.9304,0,0.8721
eng-zul,moon,inyanga,0,3,0.8796,0.894,0,0.8796
eng-zul,medicine,umuthi,0,3,0.826,0.8855,0,0.826
eng-zul,egg,iqanda,13,4,0.8247,0.8678,4,0.8247
eng-zul,house,indlu,13,1,0.7845,0.8457,1,0.7845
eng-zul,language,ulimi,4,2,0.869,0.836,2,0.836
eng-zul,village,ilali,5,0,0.8739,0.8412,0,0.8412
eng-zul,food,ukudla,58,26,0.768,0.9325,26,0.768
eng-zul,law,umthetho,52,46,0.7896,0.9511,46,0.7896
eng-zul,school,isikole,88,23,0.862,0.8899,23,0.862
eng-zul,work,umsebenzi,165,94,0.8235,0.9644,94,0.8235
eng-zul,year,unyaka,117,18,0.801,0.9119,18,0.801
eng-zul,day,usuku,53,13,0.796,0.8881,13,0.796
eng-zul,money,imali,29,71,0.7658,0.8343,29,0.7658
eng-zul,fire,umlilo,11,7,0.8158,0.9223,7,0.8158
eng-zul,government,uhulumeni,171,72,0.9656,0.9566,72,0.9566
eng-zul,bird,inyoni,0,0,0.8663,0.9282,0,0.8663
eng-sep,river,noka,1,0,0.9035,0.8451,0,0.8451
eng-sep,fish,tlhapi,0,0,0.8665,0.8853,0,0.8665
eng-sep,moon,ngwedi,0,0,0.8796,0.8003,0,0.8003
eng-sep,mother,mma,6,11,0.8962,0.8241,6,0.8241
eng-sep,book,buka,9,0,0.844,0.8205,0,0.8205
eng-sep,community,setšhaba,60,312,0.9087,0.8796,60,0.8796
eng-sep,fire,mollo,11,8,0.8158,0.8442,8,0.8158
eng-sep,water,meetse,50,60,0.853,0.8426,50,0.8426
eng-sep,day,letsatsi,53,5,0.796,0.8385,5,0.796
eng-sep,child,ngwana,90,68,0.8804,0.8595,68,0.8595
eng-sep,people,batho,374,580,0.8094,0.7935,374,0.7935
eng-sep,father,rra,1,0,0.928,0.8506,0,0.8506
eng-sep,tree,setlhare,0,0,0.8314,0.8602,0,0.8314
eng-sep,land,naga,96,261,0.8341,0.7724,96,0.7724
eng-sep,night,bosego,3,0,0.8883,0.8301,0,0.8301
eng-sep,bread,senkgwe,0,0,0.8759,0.8553,0,0.8553
eng-sep,cat,katse,1,0,0.8111,0.8214,0,0.8111
eng-sep,money,tšhelete,29,99,0.7658,0.8483,29,0.7658
eng-sep,city,toropo,11,1,0.885,0.8564,1,0.8564
eng-sep,village,motse,5,2,0.8739,0.8846,2,0.8739
eng-sep,health,boitekanelo,142,3,0.9292,0.8777,3,0.8777
eng-sep,police,maphodisa,31,32,0.8345,0.8639,31,0.8345
eng-sep,electricity,mohlagase,29,66,0.911,0.9341,29,0.911
eng-sep,education,thuto,66,89,0.9198,0.828,66,0.828
eng-sep,language,polelo,4,8,0.869,0.8877,4,0.869
eng-sep,medicine,molemo,0,0,0.826,0.8843,0,0.826
eng-sep,dog,ntšwa,0,0,0.8046,0.8993,0,0.8046
eng-sep,country,naga,152,261,0.8604,0.7724,152,0.7724
eng-sep,hospital,sepetlele,33,18,0.8825,0.854,18,0.854
eng-sep,support,thušo,164,61,0.8598,0.7741,61,0.7741
eng-sep,work,mošomo,165,147,0.8235,0.8909,147,0.8235
eng-sep,egg,lee,13,5,0.8247,0.8619,5,0.8247
eng-sep,school,sekolo,88,66,0.862,0.8804,66,0.862
eng-sep,mountain,thaba,0,1,0.8431,0.7937,0,0.7937
eng-sep,milk,lebese,0,0,0.8753,0.896,0,0.8753
eng-sep,rain,pula,0,0,0.8721,0.8797,0,0.8721
eng-sep,year,ngwaga,117,98,0.801,0.8954,98,0.801
eng-sep,house,ntlo,13,1,0.7845,0.8651,1,0.7845
eng-sep,person,motho,57,132,0.839,0.8414,57,0.839
eng-sep,sun,letšatši,1,52,0.8855,0.869,1,0.869
eng-sep,president,mopresidente,58,69,0.9501,0.9778,58,0.9501
eng-sep,woman,mosadi,18,23,0.8166,0.8222,18,0.8166
eng-sep,animal,phedi,3,0,0.8828,0.7936,0,0.7936
eng-sep,bird,nonyane,0,0,0.8663,0.9244,0,0.8663
eng-sep,road,tsela,6,46,0.878,0.8151,6,0.8151
eng-sep,rights,ditokelo,41,38,0.8467,0.8741,38,0.8467
eng-sep,food,dijo,58,72,0.768,0.8457,58,0.768
eng-sep,man,monna,3,6,0.8385,0.8857,3,0.8385
eng-sep,government,mmušo,171,402,0.9656,0.808,171,0.808
eng-sep,law,molao,52,97,0.7896,0.8704,52,0.7896
eng-tsn,land,lefatshe,96,96,0.8341,0.8811,96,0.8341
eng-tsn,road,tsela,6,58,0.878,0.8417,6,0.8417
eng-tsn,father,rra,1,0,0.928,0.8212,0,0.8212
eng-tsn,year,ngwaga,117,110,0.801,0.8854,110,0.801
eng-tsn,money,madi,29,170,0.7658,0.822,29,0.7658
eng-tsn,book,buka,9,2,0.844,0.7848,2,0.7848
eng-tsn,school,sekole,88,0,0.862,0.8457,0,0.8457
eng-tsn,health,boitekanelo,142,127,0.9292,0.9629,127,0.9292
eng-tsn,woman,mosadi,18,25,0.8166,0.8526,18,0.8166
eng-tsn,water,metsi,50,71,0.853,0.762,50,0.762
eng-tsn,country,lefatshe,152,96,0.8604,0.8811,96,0.8604
eng-tsn,police,mapodisi,31,8,0.8345,0.808,8,0.808
eng-tsn,village,motse,5,7,0.8739,0.8226,5,0.8226
eng-tsn,bird,nonyane,0,0,0.8663,0.8654,0,0.8654
eng-tsn,animal,phologolo,3,0,0.8828,0.8657,0,0.8657
eng-tsn,electricity,motlakase,29,80,0.911,0.8751,29,0.8751
eng-tsn,sun,letsatsi,1,79,0.8855,0.8808,1,0.8808
eng-tsn,mountain,thaba,0,0,0.8431,0.8069,0,0.8069
eng-tsn,egg,lee,13,4,0.8247,0.8695,4,0.8247
eng-tsn,food,dijo,58,70,0.768,0.8805,58,0.768
eng-tsn,milk,mashi,0,0,0.8753,0.8722,0,0.8722
eng-tsn,people,batho,374,668,0.8094,0.796,374,0.796
eng-tsn,child,ngwana,90,65,0.8804,0.8526,65,0.8526
eng-tsn,fire,molelo,11,28,0.8158,0.8724,11,0.8158
eng-tsn,man,monna,3,9,0.8385,0.8823,3,0.8385
eng-tsn,house,ntlo,13,6,0.7845,0.7665,6,0.7665
eng-tsn,cat,katse,1,0,0.8111,0.8383,0,0.8111
eng-tsn,support,thuso,164,64,0.8598,0.8296,64,0.8296
eng-tsn,person,motho,57,180,0.839,0.7936,57,0.7936
eng-tsn,government,puso,171,393,0.9656,0.7585,171,0.7585
eng-tsn,dog,ntša,0,0,0.8046,0.828,0,0.8046
eng-tsn,river,noka,1,1,0.9035,0.7721,1,0.7721
eng-tsn,language,puo,4,9,0.869,0.777,4,0.777
eng-tsn,tree,setlhare,0,0,0.8314,0.8801,0,0.8314
eng-tsn,law,molao,52,115,0.7896,0.89,52,0.7896
