word1,word2,relation,ngram_overlap,fasttext_sim,skipgram_sim
umfana,abafana,singular/plural,0.2069,0.4113,
inja,izinja,singular/plural,0.4,0.5703,
hamba,ukuhamba,verb/infinitive,0.4,0.7473,0.8346
sebenza,umsebenzi,verb/derived noun,0.4286,0.8039,0.3811
bonisa,umbonisi,verb/agentive noun,0.3333,0.5804,
isihlahla,izihlahla,singular/plural,0.4595,0.747,
ukudla,isidlo,verbal/meal noun,0.0345,0.1455,0.7836
ubuhle,obuhle,noun/adjective,0.5,0.9082,
umfana,amanzi,random,0.0345,0.3823,
inja,imali,random,0.0,0.474,
ukudla,isikole,random,0.0,0.1526,0.4758
hamba,incwadi,random,0.0,0.2854,0.7168
