zul_word,sep_word,gloss,direct_sim,pivot_sim,zul_to_eng,sep_to_eng,pivot_change
umuntu,motho,person,-0.0107,-0.0947,0.0532,0.0628,-0.0839
amanzi,meetse,water,0.1247,0.1999,0.0291,-0.0043,0.0751
indlu,ntlo,house,0.2427,-0.2083,0.1108,0.1469,-0.451
ukudla,dijo,food,0.2595,0.0052,0.0053,-0.1792,-0.2543
ingane,ngwana,child,0.0851,-0.0178,0.0527,0.1804,-0.1029
imali,tšhelete,money,0.121,0.0657,0.0414,0.1326,-0.0553
ilanga,letšatši,sun,0.2143,0.2646,0.098,0.1486,0.0502
ubusuku,bosego,night,0.1057,-0.0054,0.0159,0.1337,-0.1111
inja,ntšwa,dog,0.224,-0.0421,0.1359,0.2116,-0.2661
imvula,pula,rain,0.454,0.048,0.1156,0.029,-0.406
